Group,Country,Value,Key
7 Wonders Duel,Belarus,7.5,2
7 Wonders Duel,Belgium,8.59,26
7 Wonders Duel,Bolivia,9,1
7 Wonders Duel,Brazil,8.82,38
7 Wonders Duel,Bulgaria,9.33,3
7 Wonders Duel,Canada,8.38,132
7 Wonders Duel,Chile,8.97,9
7 Wonders Duel,China,8.36,18
7 Wonders Duel,Colombia,8.17,3
7 Wonders Duel,Croatia,8,3
7 Wonders Duel,Czech Republic,9.11,9
7 Wonders Duel,Denmark,7.67,11
7 Wonders Duel,Ecuador,8.25,2
7 Wonders Duel,England,8.55,11
7 Wonders Duel,Estonia,8.83,3
7 Wonders Duel,Finland,8.05,11
7 Wonders Duel,France,8.65,32
7 Wonders Duel,Germany,8.43,109
7 Wonders Duel,Greece,8.67,23
7 Wonders Duel,Guatemala,7,1
7 Wonders Duel,Hungary,8,13
7 Wonders Duel,Iceland,9,3
7 Wonders Duel,India,8.75,6
7 Wonders Duel,Indonesia,8.75,4
7 Wonders Duel,Iran,6.5,2
7 Wonders Duel,Ireland,9.08,6
7 Wonders Duel,Israel,8.8,6
7 Wonders Duel,Italy,8.09,48
7 Wonders Duel,Japan,7.89,18
7 Wonders Duel,Latvia,8.54,6
7 Wonders Duel,Lebanon,8,1
7 Wonders Duel,Lithuania,8.64,7
7 Wonders Duel,Luxembourg,7,1
7 Wonders Duel,Malaysia,8.5,2
7 Wonders Duel,Mexico,9.08,9
7 Wonders Duel,Moldova,10,1
7 Wonders Duel,Netherlands,8.3,30
7 Wonders Duel,New Zealand,8.15,8
7 Wonders Duel,Norway,8.67,9
7 Wonders Duel,Paraguay,9,1
7 Wonders Duel,Philippines,8.75,4
7 Wonders Duel,Poland,8.86,65
7 Wonders Duel,Portugal,8.56,14
7 Wonders Duel,Qatar,7.4,1
7 Wonders Duel,Romania,8.87,11
7 Wonders Duel,Russia,8.45,11
7 Wonders Duel,Rwanda,7,1
7 Wonders Duel,Saudi Arabia,8,1
7 Wonders Duel,Republic of Serbia,9.33,9
7 Wonders Duel,Slovakia,8.43,4
7 Wonders Duel,Slovenia,9.33,3
7 Wonders Duel,South Africa,7.95,4
7 Wonders Duel,South Korea,7.85,17
7 Wonders Duel,Spain,8.48,119
7 Wonders Duel,Sweden,7.85,33
7 Wonders Duel,Switzerland,8.36,7
7 Wonders Duel,Taiwan,8.43,13
7 Wonders Duel,Thailand,8.89,9
7 Wonders Duel,Ukraine,8.59,11
7 Wonders Duel,USA,8.39,688
7 Wonders Duel,Uruguay,9,1
7 Wonders Duel,Venezuela,10,1
7 Wonders Duel,Vietnam,9.38,2
A Game of Thrones: The Board Game (Second Edition),Argentina,8.47,9
A Game of Thrones: The Board Game (Second Edition),Australia,7.3,43
A Game of Thrones: The Board Game (Second Edition),Austria,9,2
A Game of Thrones: The Board Game (Second Edition),Belarus,7.25,2
A Game of Thrones: The Board Game (Second Edition),Belgium,8.1,14
A Game of Thrones: The Board Game (Second Edition),Bolivia,8,1
A Game of Thrones: The Board Game (Second Edition),Brazil,8.61,51
A Game of Thrones: The Board Game (Second Edition),Bulgaria,8,7
A Game of Thrones: The Board Game (Second Edition),Canada,7.99,100
A Game of Thrones: The Board Game (Second Edition),Chile,8.1,9
A Game of Thrones: The Board Game (Second Edition),China,7.43,19
A Game of Thrones: The Board Game (Second Edition),Colombia,8.75,4
A Game of Thrones: The Board Game (Second Edition),Croatia,7.55,4
A Game of Thrones: The Board Game (Second Edition),Czech Republic,7.22,5
A Game of Thrones: The Board Game (Second Edition),Denmark,6.25,4
A Game of Thrones: The Board Game (Second Edition),Ecuador,9,1
A Game of Thrones: The Board Game (Second Edition),England,6,2
A Game of Thrones: The Board Game (Second Edition),Estonia,8.53,3
A Game of Thrones: The Board Game (Second Edition),Finland,8.06,9
A Game of Thrones: The Board Game (Second Edition),France,7.67,6
A Game of Thrones: The Board Game (Second Edition),Germany,8.04,50
A Game of Thrones: The Board Game (Second Edition),Greece,8.19,18
A Game of Thrones: The Board Game (Second Edition),Hungary,6.5,4
A Game of Thrones: The Board Game (Second Edition),Iceland,8.5,2
A Game of Thrones: The Board Game (Second Edition),India,10,1
A Game of Thrones: The Board Game (Second Edition),Indonesia,8.25,2
A Game of Thrones: The Board Game (Second Edition),Ireland,7.5,6
A Game of Thrones: The Board Game (Second Edition),Israel,6.71,5
A Game of Thrones: The Board Game (Second Edition),Italy,7.65,36
A Game of Thrones: The Board Game (Second Edition),Japan,4,2
A Game of Thrones: The Board Game (Second Edition),Latvia,7.8,6
A Game of Thrones: The Board Game (Second Edition),Lebanon,7,1
A Game of Thrones: The Board Game (Second Edition),Lithuania,8.33,9
A Game of Thrones: The Board Game (Second Edition),Macedonia,8.5,2
A Game of Thrones: The Board Game (Second Edition),Malaysia,9.28,4
A Game of Thrones: The Board Game (Second Edition),Mexico,6.56,8
A Game of Thrones: The Board Game (Second Edition),Moldova,9,1
A Game of Thrones: The Board Game (Second Edition),Netherlands,8.27,9
A Game of Thrones: The Board Game (Second Edition),New Zealand,7.6,8
A Game of Thrones: The Board Game (Second Edition),Norway,7.58,5
A Game of Thrones: The Board Game (Second Edition),Paraguay,8,1
A Game of Thrones: The Board Game (Second Edition),Peru,9,3
A Game of Thrones: The Board Game (Second Edition),Philippines,9.67,3
A Game of Thrones: The Board Game (Second Edition),Poland,8.21,64
A Game of Thrones: The Board Game (Second Edition),Portugal,8.59,12
A Game of Thrones: The Board Game (Second Edition),Qatar,7.6,1
A Game of Thrones: The Board Game (Second Edition),Romania,7.87,8
A Game of Thrones: The Board Game (Second Edition),Russia,8,14
A Game of Thrones: The Board Game (Second Edition),Republic of Serbia,8.33,6
A Game of Thrones: The Board Game (Second Edition),Slovakia,8,2
A Game of Thrones: The Board Game (Second Edition),Slovenia,10,1
A Game of Thrones: The Board Game (Second Edition),South Africa,7.2,5
A Game of Thrones: The Board Game (Second Edition),South Korea,7,7
A Game of Thrones: The Board Game (Second Edition),Spain,8.23,81
A Game of Thrones: The Board Game (Second Edition),Sweden,7.9,21
A Game of Thrones: The Board Game (Second Edition),Switzerland,8.38,4
A Game of Thrones: The Board Game (Second Edition),Taiwan,7.18,9
A Game of Thrones: The Board Game (Second Edition),Thailand,8,6
A Game of Thrones: The Board Game (Second Edition),Turkey,8.5,1
A Game of Thrones: The Board Game (Second Edition),Uganda,8.5,1
A Game of Thrones: The Board Game (Second Edition),Ukraine,8.93,4
A Game of Thrones: The Board Game (Second Edition),USA,7.82,430
A Game of Thrones: The Board Game (Second Edition),Uruguay,9.25,2
A Game of Thrones: The Board Game (Second Edition),Venezuela,7,1
A Game of Thrones: The Board Game (Second Edition),Vietnam,6,3
Acquire,Australia,7.17,42
Acquire,Austria,7.8,10
Acquire,Belgium,7.9,16
Acquire,Brazil,8.15,19
Acquire,Bulgaria,8.5,2
Acquire,Canada,7.69,139
Acquire,Chile,8.06,5
Acquire,China,7.91,16
Acquire,Colombia,9,4
Acquire,Croatia,7,2
Acquire,Czech Republic,5,1
Acquire,Denmark,7.29,12
Acquire,Ecuador,10,1
Acquire,England,8,6
Acquire,Estonia,10,1
Acquire,Finland,7.68,11
Acquire,France,6.63,7
Acquire,Germany,7.48,80
Acquire,Greece,7.42,12
Acquire,Guatemala,10,1
Acquire,Hungary,8.1,2
Acquire,Iceland,8,1
Acquire,India,8.67,3
Acquire,Indonesia,7.6,2
Acquire,Ireland,7.38,4
Acquire,Israel,7.75,4
Acquire,Italy,7.37,28
Acquire,Japan,7.83,30
Acquire,Latvia,7.67,3
Acquire,Lithuania,7.5,2
Acquire,Malaysia,7.64,7
Acquire,Mexico,8.17,6
Acquire,Moldova,10,1
Acquire,Netherlands,7.81,22
Acquire,New Zealand,7.18,11
Acquire,Norway,7.5,13
Acquire,Panama,8,1
Acquire,Philippines,7.75,4
Acquire,Poland,7.37,11
Acquire,Portugal,6.92,6
Acquire,Romania,8.88,4
Acquire,Russia,6.5,2
Acquire,Saudi Arabia,8,1
Acquire,Republic of Serbia,7.5,2
Acquire,Slovenia,7.67,3
Acquire,South Africa,7,2
Acquire,South Korea,8.14,37
Acquire,Spain,7.63,38
Acquire,Sweden,7.56,20
Acquire,Switzerland,6.6,5
Acquire,Taiwan,7.32,11
Acquire,Thailand,8.19,8
Acquire,Ukraine,6,1
Acquire,USA,7.83,1254
Acquire,Venezuela,7.67,3
Agricola,Argentina,8.91,22
Agricola,Australia,8.17,98
Agricola,Austria,9.34,23
Agricola,Belarus,5,1
Agricola,Belgium,8.4,67
Agricola,Bolivia,9,1
Agricola,Brazil,8.86,93
Agricola,Bulgaria,8.67,3
Agricola,Canada,8.4,373
Agricola,Chile,8.79,15
Agricola,China,8.4,32
Agricola,Colombia,8.77,7
Agricola,Croatia,9.12,5
Agricola,Cyprus,8,1
Agricola,Czech Republic,8.5,27
Agricola,Denmark,8.8,28
Agricola,Ecuador,10,1
Agricola,England,8.61,23
Agricola,Estonia,8.2,11
Agricola,Finland,8.91,39
Agricola,France,8.67,45
Agricola,Germany,8.74,231
Agricola,Greece,8.75,43
Agricola,Guatemala,9,1
Agricola,Honduras,8.5,1
Agricola,Hungary,8.56,18
Agricola,Iceland,8.83,3
Agricola,India,8.33,3
Agricola,Indonesia,8.4,8
Agricola,Iran,8,1
Agricola,Ireland,8.64,11
Agricola,Israel,8.08,15
Agricola,Italy,8.34,77
Agricola,Japan,7.97,32
Agricola,Latvia,9,5
Agricola,Lithuania,8.88,13
Agricola,Luxembourg,9,3
Agricola,Malaysia,7.9,11
Agricola,Mexico,9.31,14
Agricola,Mongolia,10,1
Agricola,Netherlands,8.37,75
Agricola,New Zealand,7.99,27
Agricola,Norway,8.91,20
Agricola,Panama,9.5,1
Agricola,Peru,7.83,6
Agricola,Philippines,8,8
Agricola,Poland,8.42,140
Agricola,Portugal,8.03,17
Agricola,Qatar,7.2,1
Agricola,Romania,8.39,18
Agricola,Russia,8.28,20
Agricola,Republic of Serbia,8.89,7
Agricola,Slovakia,6.78,4
Agricola,Slovenia,9,4
Agricola,South Africa,8,7
Agricola,South Korea,8.24,37
Agricola,Spain,8.55,233
Agricola,Sweden,7.86,65
Agricola,Switzerland,8.53,19
Agricola,Taiwan,8.94,37
Agricola,Thailand,8.71,12
Agricola,Trinidad and Tobago,9,1
Agricola,Ukraine,7.61,8
Agricola,USA,8.28,1902
Agricola,Uruguay,9.5,1
Agricola,Venezuela,7.5,2
Agricola,Vietnam,8.88,4
Alhambra,Argentina,7.76,20
Alhambra,Australia,7.4,82
Alhambra,Austria,7.88,17
Alhambra,Belgium,7.24,45
Alhambra,Brazil,7.95,33
Alhambra,Brunei,7,1
Alhambra,Bulgaria,7.8,5
Alhambra,Canada,7.65,218
Alhambra,Chile,7.17,12
Alhambra,China,7.74,9
Alhambra,Colombia,7.5,2
Alhambra,Croatia,7.63,9
Alhambra,Cyprus,8,1
Alhambra,Czech Republic,6.94,17
Alhambra,Denmark,7,14
Alhambra,England,7.01,15
Alhambra,Estonia,6.53,6
Alhambra,Finland,6.96,39
Alhambra,France,7.06,26
Alhambra,Germany,7.23,180
Alhambra,Greece,7.71,42
Alhambra,Guatemala,7,1
Alhambra,Hungary,7.44,28
Alhambra,Iceland,8.25,2
Alhambra,India,7,2
Alhambra,Indonesia,7.5,3
Alhambra,Ireland,7.38,10
Alhambra,Israel,7.13,7
Alhambra,Italy,7.48,55
Alhambra,Japan,7.27,29
Alhambra,Latvia,8,4
Alhambra,Lithuania,7.02,17
Alhambra,Luxembourg,6.33,3
Alhambra,Malaysia,7.38,4
Alhambra,Mexico,8,10
Alhambra,Moldova,8,1
Alhambra,Netherlands,7.72,43
Alhambra,New Zealand,7.36,26
Alhambra,Norway,7.2,20
Alhambra,Philippines,6.25,4
Alhambra,Poland,7.83,38
Alhambra,Portugal,7.68,22
Alhambra,Qatar,4,1
Alhambra,Romania,8.2,10
Alhambra,Russia,7,7
Alhambra,Saudi Arabia,9,1
Alhambra,Republic of Serbia,8.4,5
Alhambra,Slovakia,7.73,3
Alhambra,Slovenia,8.88,4
Alhambra,South Africa,7,6
Alhambra,South Korea,7.96,26
Alhambra,Spain,7.32,112
Alhambra,Sweden,7.26,35
Alhambra,Switzerland,7.25,12
Alhambra,Taiwan,7.98,13
Alhambra,Thailand,8.3,6
Alhambra,Uganda,6.5,1
Alhambra,Ukraine,7,1
Alhambra,USA,7.55,1101
Alhambra,Venezuela,10,1
Android: Netrunner,Argentina,7.38,8
Android: Netrunner,Australia,7.79,32
Android: Netrunner,Austria,6.25,4
Android: Netrunner,Belgium,9.33,6
Android: Netrunner,Bolivia,8,1
Android: Netrunner,Brazil,8.01,20
Android: Netrunner,Bulgaria,7.67,3
Android: Netrunner,Canada,8.2,109
Android: Netrunner,Chile,7.92,6
Android: Netrunner,China,8,13
Android: Netrunner,Colombia,9,2
Android: Netrunner,Croatia,10,1
Android: Netrunner,Czech Republic,7.4,5
Android: Netrunner,Denmark,8.16,5
Android: Netrunner,England,6.25,4
Android: Netrunner,Finland,8.45,11
Android: Netrunner,France,8.23,11
Android: Netrunner,Germany,8.12,54
Android: Netrunner,Greece,8.39,10
Android: Netrunner,Guatemala,9,1
Android: Netrunner,Hungary,7,2
Android: Netrunner,Iceland,9,2
Android: Netrunner,Indonesia,9,2
Android: Netrunner,Ireland,7,2
Android: Netrunner,Israel,4.5,2
Android: Netrunner,Italy,7.95,19
Android: Netrunner,Japan,7.5,8
Android: Netrunner,Latvia,8,3
Android: Netrunner,Lithuania,8.84,5
Android: Netrunner,Luxembourg,8,1
Android: Netrunner,Macedonia,7,1
Android: Netrunner,Malaysia,8.5,2
Android: Netrunner,Mexico,7.9,5
Android: Netrunner,Netherlands,7.98,10
Android: Netrunner,New Zealand,7.62,6
Android: Netrunner,Norway,7.5,4
Android: Netrunner,Peru,7,1
Android: Netrunner,Philippines,7.33,3
Android: Netrunner,Poland,8.23,24
Android: Netrunner,Portugal,8.41,7
Android: Netrunner,Qatar,4,1
Android: Netrunner,Romania,9.44,4
Android: Netrunner,Russia,7.54,6
Android: Netrunner,Republic of Serbia,7.25,2
Android: Netrunner,Slovakia,9.5,1
Android: Netrunner,South Africa,9,3
Android: Netrunner,South Korea,7.51,13
Android: Netrunner,Spain,7.54,35
Android: Netrunner,Sweden,8.33,15
Android: Netrunner,Switzerland,8,5
Android: Netrunner,Taiwan,8.76,8
Android: Netrunner,Thailand,4,1
Android: Netrunner,Turkey,8.5,1
Android: Netrunner,Ukraine,8.95,2
Android: Netrunner,USA,7.92,540
Android: Netrunner,Venezuela,5,1
Android: Netrunner,Vietnam,9,1
Apples to Apples,Argentina,7,1
Apples to Apples,Australia,6.25,35
Apples to Apples,Austria,6.5,2
Apples to Apples,Belgium,6,7
Apples to Apples,Brazil,6,4
Apples to Apples,Canada,6.73,168
Apples to Apples,Chile,7.15,4
Apples to Apples,China,6,3
Apples to Apples,Colombia,6,3
Apples to Apples,Denmark,6.5,2
Apples to Apples,England,7.58,6
Apples to Apples,Finland,6.68,12
Apples to Apples,France,6.5,4
Apples to Apples,Germany,6.25,39
Apples to Apples,Greece,8,1
Apples to Apples,Guatemala,8,1
Apples to Apples,Hungary,6.5,1
Apples to Apples,India,6.5,2
Apples to Apples,Ireland,7.5,6
Apples to Apples,Israel,5.67,3
Apples to Apples,Italy,7.75,4
Apples to Apples,Japan,5.07,9
Apples to Apples,Malaysia,5.63,4
Apples to Apples,Mexico,6.5,1
Apples to Apples,Netherlands,7.5,6
Apples to Apples,New Zealand,7.07,7
Apples to Apples,Norway,7,3
Apples to Apples,Philippines,6,1
Apples to Apples,Poland,6.27,15
Apples to Apples,Russia,5,1
Apples to Apples,South Africa,5,1
Apples to Apples,South Korea,7,6
Apples to Apples,Spain,7.07,16
Apples to Apples,Sweden,6.83,12
Apples to Apples,Switzerland,7.5,2
Apples to Apples,Taiwan,8,3
Apples to Apples,USA,6.47,1518
Apples to Apples,Uruguay,7,1
Apples to Apples,Venezuela,9,1
Arkham Horror,Argentina,6.55,11
Arkham Horror,Australia,7.13,55
Arkham Horror,Austria,7.58,12
Arkham Horror,Belarus,9,1
Arkham Horror,Belgium,7.29,12
Arkham Horror,Bolivia,9,1
Arkham Horror,Brazil,8.24,27
Arkham Horror,Bulgaria,9,1
Arkham Horror,Canada,7.53,181
Arkham Horror,Chile,7.36,8
Arkham Horror,China,7.57,14
Arkham Horror,Colombia,8,1
Arkham Horror,Croatia,7.8,5
Arkham Horror,Czech Republic,6.38,12
Arkham Horror,Denmark,7.64,14
Arkham Horror,England,8.33,6
Arkham Horror,Estonia,8.3,5
Arkham Horror,Finland,7.41,31
Arkham Horror,France,7.54,18
Arkham Horror,Germany,7.7,104
Arkham Horror,Greece,8.05,23
Arkham Horror,Hungary,7.32,13
Arkham Horror,Iceland,8,2
Arkham Horror,Indonesia,7.6,2
Arkham Horror,Ireland,7.67,6
Arkham Horror,Israel,7.33,6
Arkham Horror,Italy,7.32,42
Arkham Horror,Japan,5.2,5
Arkham Horror,Lebanon,9,1
Arkham Horror,Lithuania,7.25,8
Arkham Horror,Luxembourg,8.2,1
Arkham Horror,Macedonia,8,2
Arkham Horror,Malaysia,6.3,6
Arkham Horror,Mexico,7.55,11
Arkham Horror,Moldova,8,1
Arkham Horror,Netherlands,7.85,16
Arkham Horror,New Zealand,6.76,7
Arkham Horror,Norway,6.36,14
Arkham Horror,Peru,7,2
Arkham Horror,Philippines,7.1,5
Arkham Horror,Poland,7.71,62
Arkham Horror,Portugal,7.82,5
Arkham Horror,Romania,8.9,3
Arkham Horror,Russia,7.19,16
Arkham Horror,Republic of Serbia,8,1
Arkham Horror,Slovenia,8,1
Arkham Horror,South Korea,6.42,18
Arkham Horror,Spain,7.72,115
Arkham Horror,Sweden,6.88,45
Arkham Horror,Switzerland,8.57,7
Arkham Horror,Taiwan,7.6,8
Arkham Horror,Thailand,6,2
Arkham Horror,Turkey,8,2
Arkham Horror,Ukraine,7.58,8
Arkham Horror,USA,7.4,1105
Arkham Horror,Venezuela,7,1
Arkham Horror,Vietnam,8.5,2
Axis & Allies,Argentina,7.5,1
Axis & Allies,Australia,6.6,26
Axis & Allies,Austria,10,1
Axis & Allies,Belgium,6.63,12
Axis & Allies,Brazil,6.83,9
Axis & Allies,Canada,6.85,187
Axis & Allies,Chile,8,1
Axis & Allies,China,7.27,3
Axis & Allies,Croatia,7,4
Axis & Allies,Czech Republic,9,1
Axis & Allies,Denmark,6.54,13
Axis & Allies,Fiji,8,1
Axis & Allies,Finland,6.56,8
Axis & Allies,France,5.33,3
Axis & Allies,Germany,6.68,45
Axis & Allies,Greece,7,9
Axis & Allies,Hungary,8,1
Axis & Allies,Iceland,7,2
Axis & Allies,India,4,1
Axis & Allies,Ireland,9,1
Axis & Allies,Israel,8.33,3
Axis & Allies,Italy,7.18,39
Axis & Allies,Latvia,6,1
Axis & Allies,Lithuania,8,1
Axis & Allies,Malaysia,6.53,3
Axis & Allies,Mexico,6.64,5
Axis & Allies,Netherlands,7.34,20
Axis & Allies,New Zealand,7.04,7
Axis & Allies,Norway,5.7,10
Axis & Allies,Peru,7.25,2
Axis & Allies,Portugal,6.75,4
Axis & Allies,Qatar,7.8,1
Axis & Allies,Romania,8,2
Axis & Allies,Russia,7,1
Axis & Allies,Slovenia,7.33,3
Axis & Allies,South Africa,3,1
Axis & Allies,South Korea,7.2,5
Axis & Allies,Spain,6.96,12
Axis & Allies,Sweden,6.02,25
Axis & Allies,Switzerland,8,3
Axis & Allies,Thailand,9,1
Axis & Allies,Turkey,7,1
Axis & Allies,Ukraine,4,1
Axis & Allies,USA,6.81,968
Axis & Allies,Venezuela,9,1
Azul,Argentina,8.43,7
Azul,Australia,8.18,39
Azul,Austria,8.6,6
Azul,Belarus,6,1
Azul,Belgium,7.88,24
Azul,Bolivia,10,1
Azul,Brazil,8.91,32
Azul,Bulgaria,5,1
Azul,Canada,8.29,94
Azul,Chile,8.44,8
Azul,China,8.27,12
Azul,Colombia,9.5,3
Azul,Croatia,9.33,3
Azul,Czech Republic,9.25,4
Azul,Denmark,7.67,3
Azul,England,7.95,10
Azul,Estonia,9,1
Azul,Finland,7.78,8
Azul,France,8.19,23
Azul,Germany,8.14,91
Azul,Greece,8.71,13
Azul,Guatemala,7.5,1
Azul,Hungary,8.36,10
Azul,Iceland,7,1
Azul,India,9,3
Azul,Indonesia,9,2
Azul,Iran,9.5,2
Azul,Ireland,8.8,5
Azul,Israel,7.13,4
Azul,Italy,8.1,31
Azul,Japan,7.91,17
Azul,Latvia,7.75,4
Azul,Lithuania,8.88,4
Azul,Malaysia,9.25,2
Azul,Mexico,9.15,18
Azul,Netherlands,7.89,25
Azul,New Zealand,7.63,8
Azul,Norway,7.96,8
Azul,Peru,8.67,3
Azul,Philippines,9.5,4
Azul,Poland,8.06,30
Azul,Portugal,8.52,12
Azul,Romania,8.81,6
Azul,Russia,9.2,5
Azul,Saudi Arabia,9,1
Azul,Republic of Serbia,7.75,2
Azul,Slovakia,8,1
Azul,Slovenia,9.33,3
Azul,South Africa,8,3
Azul,South Korea,6.73,6
Azul,Spain,8.3,64
Azul,Sri Lanka,8,1
Azul,Sweden,8.09,17
Azul,Switzerland,7.5,7
Azul,Taiwan,7.78,10
Azul,Thailand,7.3,5
Azul,Ukraine,9.37,3
Azul,USA,8.19,517
Azul,Uruguay,8,1
Azul,Venezuela,6,1
Azul,Vietnam,8.91,1
Backgammon,Argentina,9.17,3
Backgammon,Australia,6.54,35
Backgammon,Austria,9,3
Backgammon,Belgium,6.69,8
Backgammon,Brazil,7.22,18
Backgammon,Bulgaria,10,1
Backgammon,Canada,7.28,113
Backgammon,Chile,6.44,8
Backgammon,China,8.45,2
Backgammon,Colombia,7,1
Backgammon,Costa Rica,7,1
Backgammon,Czech Republic,6.5,1
Backgammon,Denmark,6.38,13
Backgammon,England,6.8,5
Backgammon,Estonia,7.75,4
Backgammon,Finland,6.75,17
Backgammon,France,7.1,11
Backgammon,Germany,6.82,61
Backgammon,Greece,7.17,26
Backgammon,Guatemala,7,1
Backgammon,Hungary,7.13,4
Backgammon,Iceland,8.5,1
Backgammon,India,7,1
Backgammon,Ireland,6,1
Backgammon,Israel,6,4
Backgammon,Italy,7.31,24
Backgammon,Japan,7.21,15
Backgammon,Latvia,6.67,3
Backgammon,Lithuania,6.67,3
Backgammon,Mexico,7.27,5
Backgammon,Netherlands,6.38,21
Backgammon,New Zealand,6.62,13
Backgammon,Norway,6.88,16
Backgammon,Peru,6.25,2
Backgammon,Poland,7.33,12
Backgammon,Portugal,7.37,8
Backgammon,Romania,6.7,5
Backgammon,Russia,6,3
Backgammon,Saudi Arabia,9,1
Backgammon,Republic of Serbia,8,2
Backgammon,Slovenia,5.67,3
Backgammon,South Africa,6.5,2
Backgammon,South Korea,5.75,4
Backgammon,Spain,7.61,32
Backgammon,Sweden,6.44,25
Backgammon,Switzerland,6,3
Backgammon,Taiwan,7.5,2
Backgammon,Turkey,6,1
Backgammon,USA,6.7,630
Backgammon,Venezuela,10,1
Backgammon,Vietnam,6.5,1
