Group,Country,Value,Key
6 nimmt!,Argentina,7.57,7
6 nimmt!,Australia,7.17,36
6 nimmt!,Austria,7.53,10
6 nimmt!,Belarus,7.5,2
6 nimmt!,Belgium,7.55,18
6 nimmt!,Bolivia,7,1
6 nimmt!,Brazil,7.28,32
6 nimmt!,Brunei,8,1
6 nimmt!,Bulgaria,5.67,3
6 nimmt!,Canada,7.21,98
6 nimmt!,Chile,7.99,9
6 nimmt!,China,7.1,4
6 nimmt!,Colombia,7.57,3
6 nimmt!,Croatia,6,1
6 nimmt!,Czech Republic,7.7,5
6 nimmt!,Denmark,6.19,8
6 nimmt!,England,7.5,4
6 nimmt!,Estonia,7.08,5
6 nimmt!,Finland,7.32,32
6 nimmt!,France,6.93,27
6 nimmt!,Germany,7.58,123
6 nimmt!,Greece,7.07,17
6 nimmt!,Hungary,7.31,19
6 nimmt!,Iceland,6,1
6 nimmt!,India,7,1
6 nimmt!,Ireland,8,4
6 nimmt!,Israel,6.8,5
6 nimmt!,Italy,7.06,32
6 nimmt!,Japan,6.99,40
6 nimmt!,Latvia,6.74,9
6 nimmt!,Lithuania,7.71,7
6 nimmt!,Luxembourg,7,1
6 nimmt!,Malaysia,8.08,6
6 nimmt!,Mexico,8,6
6 nimmt!,Netherlands,7.25,25
6 nimmt!,New Zealand,6.91,11
6 nimmt!,Norway,6.77,11
6 nimmt!,Philippines,9,1
6 nimmt!,Poland,7.43,47
6 nimmt!,Portugal,6.63,5
6 nimmt!,Romania,7.8,5
6 nimmt!,Russia,6.5,11
6 nimmt!,Saudi Arabia,7,1
6 nimmt!,Republic of Serbia,7.7,5
6 nimmt!,Slovakia,7,1
6 nimmt!,South Africa,7.33,3
6 nimmt!,South Korea,7.43,24
6 nimmt!,Spain,7.58,83
6 nimmt!,Sweden,7.01,17
6 nimmt!,Switzerland,7.75,8
6 nimmt!,Taiwan,7.44,20
6 nimmt!,Thailand,7.5,6
6 nimmt!,Ukraine,7.67,3
6 nimmt!,USA,7.14,463
6 nimmt!,Uruguay,10,1
6 nimmt!,Vietnam,6,1
7 Wonders,Argentina,8.12,24
7 Wonders,Australia,8.05,110
7 Wonders,Austria,8.5,14
7 Wonders,Belarus,8.25,2
7 Wonders,Belgium,8.33,58
7 Wonders,Bolivia,9,2
7 Wonders,Brazil,8.71,107
7 Wonders,Brunei,9,1
7 Wonders,Bulgaria,8.35,10
7 Wonders,Canada,8.31,362
7 Wonders,Chile,8.17,15
7 Wonders,China,8.23,28
7 Wonders,Colombia,8.09,8
7 Wonders,Costa Rica,7.5,2
7 Wonders,Croatia,8.04,5
7 Wonders,Czech Republic,7.65,13
7 Wonders,Denmark,7.99,26
7 Wonders,England,7.74,16
7 Wonders,Estonia,9.17,9
7 Wonders,Finland,8.44,42
7 Wonders,France,8.59,55
7 Wonders,Germany,8.41,212
7 Wonders,Greece,8.34,56
7 Wonders,Guatemala,9.5,1
7 Wonders,Honduras,8,1
7 Wonders,Hungary,8.46,29
7 Wonders,Iceland,8.13,4
7 Wonders,India,8,3
7 Wonders,Indonesia,8.63,8
7 Wonders,Iran,7.9,3
7 Wonders,Iraq,9,1
7 Wonders,Ireland,8.3,14
7 Wonders,Israel,8.03,15
7 Wonders,Italy,7.9,86
7 Wonders,Japan,7.43,38
7 Wonders,Latvia,8.4,12
7 Wonders,Lebanon,7,1
7 Wonders,Lithuania,8.05,16
7 Wonders,Luxembourg,8,2
7 Wonders,Macedonia,8.5,2
7 Wonders,Malaysia,8.33,9
7 Wonders,Mexico,8.86,21
7 Wonders,Moldova,8.75,2
7 Wonders,Netherlands,7.96,48
7 Wonders,New Zealand,7.79,28
7 Wonders,Norway,8.62,19
7 Wonders,Peru,8.63,4
7 Wonders,Philippines,8.5,10
7 Wonders,Poland,8.43,116
7 Wonders,Portugal,8.41,29
7 Wonders,Qatar,8,2
7 Wonders,Romania,8.61,22
7 Wonders,Russia,8.88,21
7 Wonders,Saudi Arabia,7.5,2
7 Wonders,Republic of Serbia,8.98,12
7 Wonders,Slovakia,8.98,3
7 Wonders,Slovenia,8.67,3
7 Wonders,South Africa,8.7,10
7 Wonders,South Korea,7.44,25
7 Wonders,Spain,8.17,174
7 Wonders,Sri Lanka,9,1
7 Wonders,Sweden,8.1,63
7 Wonders,Switzerland,8.02,20
7 Wonders,Taiwan,8.06,31
7 Wonders,Thailand,8.23,16
7 Wonders,Turkey,8.5,2
7 Wonders,Uganda,7,1
7 Wonders,Ukraine,8.17,18
7 Wonders,USA,8.23,2023
7 Wonders,Uruguay,9.03,3
7 Wonders,Venezuela,9,2
7 Wonders,Vietnam,8,3
7 Wonders Duel,Argentina,8.65,14
7 Wonders Duel,Australia,8.22,51
7 Wonders Duel,Austria,8.27,11
